macd krot3 21,55

2015-07-22, 11.57, 11.69, -0.12, 
2015-07-23, 11.42, 11.63, -0.21, 
2015-07-24, 11.30, 11.58, -0.28, 
2015-07-27, 11.19, 11.53, -0.34, 
2015-07-28, 11.07, 11.47, -0.40, 
2015-07-29, 10.95, 11.41, -0.46, 
2015-07-30, 10.80, 11.34, -0.54, 
2015-07-31, 10.70, 11.28, -0.58, 
2015-08-03, 10.57, 11.21, -0.64, 
2015-08-04, 10.44, 11.14, -0.70, 
2015-08-05, 10.33, 11.08, -0.75, 
2015-08-06, 10.21, 11.01, -0.80, 
2015-08-07, 10.09, 10.94, -0.85, 
2015-08-10, 9.98, 10.87, -0.89, 
2015-08-11, 9.88, 10.80, -0.92, 
2015-08-12, 9.82, 10.75, -0.93, 
2015-08-13, 9.82, 10.72, -0.90, 
2015-08-14, 9.82, 10.69, -0.87, 
2015-08-17, 9.83, 10.67, -0.84, 
2015-08-18, 9.84, 10.65, -0.81, 
2015-08-19, 9.84, 10.63, -0.79, 
2015-08-20, 9.83, 10.60, -0.77, 
2015-08-21, 9.79, 10.56, -0.77, 
2015-08-24, 9.73, 10.51, -0.78, 
2015-08-25, 9.65, 10.45, -0.80, 
2015-08-26, 9.55, 10.39, -0.84, 
2015-08-27, 9.52, 10.35, -0.83, 
2015-08-28, 9.46, 10.30, -0.84, 
2015-08-31, 9.39, 10.25, -0.86, 
2015-09-01, 9.32, 10.20, -0.88, 
2015-09-02, 9.26, 10.15, -0.89, 
2015-09-03, 9.20, 10.10, -0.90, 
2015-09-04, 9.13, 10.04, -0.91, 
2015-09-08, 9.07, 9.99, -0.92, 
2015-09-09, 9.03, 9.95, -0.92, 
2015-09-10, 8.99, 9.91, -0.92, 
2015-09-11, 8.96, 9.87, -0.91, 
2015-09-14, 8.95, 9.84, -0.89, 
2015-09-15, 8.92, 9.80, -0.88, 
2015-09-16, 8.90, 9.77, -0.87, 
2015-09-17, 8.92, 9.75, -0.83, 
2015-09-18, 8.90, 9.71, -0.81, 
2015-09-21, 8.85, 9.66, -0.81, 
2015-09-22, 8.74, 9.59, -0.85, 
2015-09-23, 8.66, 9.53, -0.87, 
2015-09-24, 8.57, 9.47, -0.90, 
2015-09-25, 8.49, 9.41, -0.92, 
2015-09-28, 8.40, 9.34, -0.94, 
2015-09-29, 8.34, 9.28, -0.94, 
2015-09-30, 8.29, 9.23, -0.94, 
2015-10-01, 8.24, 9.18, -0.94, 
2015-10-02, 8.26, 9.16, -0.90, 
2015-10-05, 8.31, 9.15, -0.84, 
2015-10-06, 8.36, 9.15, -0.79, 
2015-10-07, 8.45, 9.15, -0.70, 
2015-10-08, 8.54, 9.16, -0.62, 
2015-10-09, 8.66, 9.18, -0.52, 
2015-10-13, 8.69, 9.18, -0.49, 
2015-10-14, 8.70, 9.18, -0.48, 
2015-10-15, 8.81, 9.20, -0.39, 
2015-10-16, 8.91, 9.22, -0.31, 
2015-10-19, 9.04, 9.26, -0.22, 
2015-10-20, 9.16, 9.30, -0.14, 
2015-10-21, 9.27, 9.33, -0.06, 
2015-10-22, 9.35, 9.36, -0.01, 
2015-10-23, 9.42, 9.38, 0.04, 
2015-10-26, 9.47, 9.40, 0.07, 
2015-10-27, 9.55, 9.43, 0.12, 
2015-10-28, 9.60, 9.45, 0.15, 
2015-10-29, 9.60, 9.45, 0.15, 
2015-10-30, 9.62, 9.46, 0.16, 
2015-11-03, 9.72, 9.50, 0.22, 
2015-11-04, 9.76, 9.52, 0.24, 
2015-11-05, 9.83, 9.55, 0.28, 
2015-11-06, 9.86, 9.57, 0.29, 
2015-11-09, 9.88, 9.58, 0.30, 
2015-11-10, 9.89, 9.59, 0.30, 
2015-11-11, 9.95, 9.62, 0.33, 
2015-11-12, 10.00, 9.65, 0.35, 
2015-11-13, 10.02, 9.67, 0.35, 
2015-11-16, 10.04, 9.69, 0.35, 
2015-11-17, 10.08, 9.72, 0.36, 
2015-11-18, 10.12, 9.75, 0.37, 
2015-11-19, 10.17, 9.78, 0.39, 
2015-11-23, 10.21, 9.81, 0.40, 
2015-11-24, 10.24, 9.83, 0.41, 
