PETR4  ME 10

2015-12-22,  7.13
2015-12-23,  7.10
2015-12-28,  7.03
2015-12-29,  6.97
2015-12-30,  6.93
2016-01-04,  6.92
2016-01-05,  6.88
2016-01-06,  6.80
2016-01-07,  6.71
2016-01-08,  6.63
2016-01-11,  6.54
2016-01-12,  6.36
2016-01-13,  6.17
2016-01-14,  6.09
2016-01-15,  5.93
2016-01-18,  5.73
2016-01-19,  5.54
2016-01-20,  5.34
2016-01-21,  5.19
2016-01-22,  5.05
2016-01-26,  4.90
2016-01-27,  4.84
2016-01-28,  4.80
2016-01-29,  4.80
2016-02-01,  4.79
2016-02-02,  4.71
2016-02-03,  4.67
2016-02-04,  4.68
2016-02-05,  4.66
2016-02-10,  4.60
2016-02-11,  4.54
2016-02-12,  4.53
2016-02-15,  4.53
2016-02-16,  4.52
2016-02-17,  4.54
2016-02-18,  4.54
2016-02-19,  4.53
2016-02-22,  4.62
2016-02-23,  4.67
2016-02-24,  4.70
2016-02-25,  4.73
2016-02-26,  4.75
2016-02-29,  4.82
2016-03-01,  4.90
2016-03-02,  5.03
2016-03-03,  5.31
2016-03-04,  5.65
2016-03-07,  5.96
2016-03-08,  6.23
2016-03-09,  6.47
2016-03-10,  6.73
2016-03-11,  6.97
2016-03-14,  7.04
2016-03-15,  6.97
2016-03-16,  7.01
2016-03-17,  7.20
2016-03-18,  7.36
2016-03-21,  7.48
2016-03-22,  7.59
2016-03-23,  7.62
2016-03-24,  7.65
2016-03-28,  7.79
2016-03-29,  7.91
2016-03-30,  8.00
2016-03-31,  8.06
2016-04-01,  8.11
2016-04-04,  8.02
2016-04-05,  7.99
2016-04-06,  7.92
2016-04-07,  7.88
2016-04-08,  7.94
2016-04-11,  8.02
2016-04-12,  8.20
2016-04-13,  8.43
2016-04-14,  8.56
2016-04-15,  8.76
2016-04-18,  8.84
2016-04-19,  8.98
2016-04-20,  9.07
2016-04-22,  9.19
2016-04-25,  9.21
2016-04-26,  9.29
2016-04-27,  9.46
2016-04-28,  9.60
2016-04-29,  9.71
2016-05-02,  9.79
2016-05-03,  9.79
2016-05-04,  9.81
2016-05-05,  9.81
2016-05-06,  9.85
2016-05-09,  9.79
2016-05-10,  9.86
2016-05-11,  9.93
2016-05-12,  9.91
2016-05-13,  9.83
2016-05-16,  9.82
2016-05-17,  9.77
2016-05-18,  9.69
2016-05-19,  9.56
2016-05-20,  9.44
2016-05-23,  9.27
2016-05-24,  9.14
2016-05-25,  9.06
2016-05-27,  8.91
2016-05-30,  8.82
2016-05-31,  8.68
2016-06-01,  8.59
2016-06-02,  8.56
2016-06-03,  8.56
2016-06-06,  8.55
2016-06-07,  8.56
2016-06-08,  8.71
2016-06-09,  8.79
2016-06-10,  8.79
2016-06-13,  8.76
2016-06-14,  8.68
2016-06-15,  8.65
2016-06-16,  8.63
2016-06-17,  8.68
2016-06-20,  8.77
2016-06-21,  8.90
2016-06-22,  8.98
2016-06-23,  9.10
2016-06-24,  9.12
2016-06-27,  9.06
2016-06-28,  9.08
2016-06-29,  9.15
2016-06-30,  9.19
2016-07-01,  9.30
2016-07-04,  9.40
2016-07-05,  9.38
2016-07-06,  9.40
2016-07-07,  9.42
2016-07-08,  9.49
2016-07-11,  9.64
2016-07-12,  9.82
2016-07-13,  9.96
2016-07-14,  10.13
2016-07-15,  10.29
2016-07-18,  10.51
2016-07-19,  10.74
2016-07-20,  10.93
2016-07-21,  11.09
2016-07-22,  11.24
2016-07-25,  11.38
2016-07-26,  11.47
2016-07-27,  11.47
2016-07-28,  11.47
2016-07-29,  11.54
2016-08-01,  11.49
2016-08-02,  11.47
2016-08-03,  11.54
2016-08-04,  11.62
2016-08-05,  11.62
2016-08-08,  11.67
2016-08-09,  11.70
2016-08-10,  11.68
2016-08-11,  11.75
2016-08-12,  11.79
2016-08-15,  11.88
2016-08-16,  11.99
2016-08-17,  12.13
2016-08-18,  12.26
2016-08-19,  12.35
2016-08-22,  12.35
2016-08-23,  12.40
2016-08-24,  12.40
2016-08-25,  12.42
2016-08-26,  12.44
2016-08-29,  12.51
2016-08-30,  12.61
2016-08-31,  12.65
2016-09-01,  12.71
2016-09-02,  12.86
2016-09-05,  13.03
2016-09-06,  13.20
2016-09-08,  13.38
2016-09-09,  13.40
2016-09-12,  13.50
2016-09-13,  13.42
2016-09-14,  13.37
2016-09-15,  13.39
2016-09-16,  13.35
2016-09-19,  13.30
2016-09-20,  13.33
2016-09-21,  13.39
2016-09-22,  13.50
2016-09-23,  13.53
2016-09-26,  13.51
2016-09-27,  13.44
2016-09-28,  13.51
2016-09-29,  13.50
2016-09-30,  13.51
2016-10-03,  13.59
2016-10-04,  13.66
2016-10-05,  13.82
2016-10-06,  14.05
2016-10-07,  14.27
2016-10-10,  14.53
2016-10-11,  14.68
2016-10-13,  14.87
2016-10-14,  15.12
2016-10-17,  15.44
2016-10-18,  15.80
2016-10-19,  16.13
2016-10-20,  16.42
2016-10-21,  16.69
2016-10-24,  16.96
2016-10-25,  17.14
2016-10-26,  17.31
2016-10-27,  17.45
2016-10-28,  17.56
2016-10-31,  17.58
2016-11-01,  17.45
2016-11-03,  17.21
2016-11-04,  16.99
2016-11-07,  17.03
2016-11-08,  17.03
2016-11-09,  16.97
2016-11-10,  16.71
2016-11-11,  16.22
2016-11-14,  15.82
2016-11-16,  15.63
2016-11-17,  15.39
2016-11-18,  15.24
2016-11-21,  15.30
2016-11-22,  15.41
2016-11-23,  15.49
2016-11-24,  15.50
2016-11-25,  15.47
2016-11-28,  15.47
2016-11-29,  15.33
2016-11-30,  15.45
2016-12-01,  15.45
2016-12-02,  15.51
2016-12-05,  15.53
2016-12-06,  15.64
2016-12-07,  15.68
2016-12-08,  15.68
2016-12-09,  15.67
2016-12-12,  15.66
2016-12-13,  15.63
2016-12-14,  15.47
2016-12-15,  15.36
2016-12-16,  15.26
2016-12-19,  15.10
2016-12-20,  14.97
2016-12-21,  14.86
2016-12-22,  14.71
2016-12-23,  14.63
2016-12-26,  14.60
2016-12-27,  14.57
2016-12-28,  14.60
2016-12-29,  14.64
2017-01-02,  14.64
2017-01-03,  14.79
2017-01-04,  14.91
2017-01-05,  15.06
2017-01-06,  15.16
2017-01-09,  15.19
2017-01-10,  15.24
2017-01-11,  15.31
2017-01-12,  15.41
2017-01-13,  15.45
2017-01-16,  15.50
2017-01-17,  15.55
2017-01-18,  15.59
2017-01-19,  15.62
2017-01-20,  15.68
2017-01-23,  15.73
